1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	1249
4	R	1249
4	W	1249
0	R	1249
4	J	1304
4	R	1304
4	W	1304
0	R	1304
4	J	1602
4	R	1602
4	W	1602
0	R	1602
4	J	1638
4	R	1638
4	W	1638
0	R	1638
4	J	1688
4	R	1688
4	W	1688
0	R	1689
4	J	1719
4	R	1719
4	W	1719
0	R	1719
4	J	1956
4	R	1956
4	W	1956
0	R	1956
4	J	1981
4	R	1981
4	W	1981
0	R	1981
4	J	2061
4	R	2061
4	W	2061
0	R	2061
4	J	2101
4	R	2102
4	W	2102
0	R	2102
4	J	2517
4	R	2517
4	W	2517
0	R	2517
4	J	2561
4	R	2561
4	W	2561
0	R	2561
4	J	2586
4	R	2586
4	W	2586
0	R	2586
4	J	2638
4	R	2638
4	W	2638
0	R	2638
4	J	2652
4	R	2652
4	W	2652
0	R	2652
4	J	2694
4	R	2695
4	W	2695
0	R	2695
4	J	2732
4	R	2733
4	W	2733
0	R	2733
4	J	2769
4	R	2769
4	W	2769
0	R	2769
4	J	2896
4	R	2896
4	W	2897
0	R	2897
4	J	2945
4	R	2945
4	W	2945
0	R	2945
4	J	3026
4	R	3026
4	W	3026
0	R	3026
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3074
4	R	3074
4	W	3074
0	R	3075
4	J	3119
4	R	3119
4	W	3119
0	R	3119
4	J	3159
4	R	3159
4	W	3160
0	R	3160
4	J	3203
4	R	3203
6	N	3204
6	J	3204
4	W	3205
6	R	3205
7	N	3206
7	J	3207
8	N	3207
8	J	3208
9	N	3208
9	J	3208
10	N	3208
10	J	3209
6	E	3210
4	J	3210
10	R	3210
10	J	3225
9	R	3225
9	W	3225
8	R	3225
8	J	3240
7	R	3240
7	J	3255
4	R	3255
11	N	3255
11	J	3255
4	W	3256
11	R	3256
4	J	3258
11	E	3258
4	R	3258
4	W	3259
10	R	3259
10	J	3274
8	R	3274
8	J	3289
7	R	3289
7	J	3304
10	R	3304
10	J	3319
8	R	3319
9	J	3334
8	J	3334
9	R	3334
9	W	3334
7	R	3334
7	J	3349
10	R	3349
10	J	3364
8	R	3364
8	J	3379
7	R	3379
7	J	3394
10	R	3394
10	J	3409
8	R	3409
8	J	3424
7	R	3424
9	J	3439
7	J	3439
9	R	3439
9	W	3439
10	R	3439
10	J	3454
8	R	3454
8	J	3469
7	R	3469
7	J	3484
10	R	3484
10	J	3499
8	R	3499
8	J	3514
7	R	3514
7	J	3529
10	R	3529
9	J	3544
10	J	3544
9	R	3544
9	W	3544
8	R	3544
8	J	3559
7	R	3559
7	J	3574
10	R	3574
10	J	3589
8	R	3589
8	J	3604
7	R	3604
7	J	3619
10	R	3619
10	J	3634
8	R	3634
9	J	3649
8	J	3649
9	R	3649
9	W	3649
7	R	3649
7	J	3664
10	R	3664
10	J	3679
8	R	3679
8	J	3694
7	R	3694
7	J	3709
10	R	3709
10	J	3724
8	R	3724
8	J	3739
7	R	3739
9	J	3754
7	J	3754
9	R	3754
9	W	3754
10	R	3754
10	J	3769
8	R	3769
8	J	3784
7	R	3784
7	J	3799
10	R	3799
10	W	3804
8	R	3804
8	J	3819
7	R	3819
7	W	3824
8	R	3824
9	J	3869
8	J	3869
9	R	3869
9	W	3869
8	R	3869
10	J	3914
8	J	3914
10	R	3914
10	W	3914
8	R	3914
7	J	3929
8	J	3929
7	R	3929
7	W	3929
8	R	3929
9	J	3974
8	J	3974
9	R	3974
9	W	3974
8	R	3974
10	J	4019
8	J	4019
10	R	4019
10	E	4019
1	J	4019
1	R	4019
1	W	4019
8	R	4019
7	J	4034
8	J	4034
7	R	4034
7	J	4063
8	R	4063
9	J	4078
8	J	4078
9	R	4078
9	E	4078
1	J	4078
1	R	4078
1	W	4078
7	R	4078
7	J	4093
8	R	4093
8	J	4108
7	R	4108
7	J	4123
8	R	4123
8	J	4138
7	R	4138
7	J	4153
8	R	4153
8	J	4168
7	R	4168
7	J	4183
8	R	4183
4	J	4192
8	J	4198
4	R	4198
4	W	4198
7	R	4198
7	J	4213
8	R	4213
8	J	4228
7	R	4228
4	J	4228
7	J	4243
4	R	4243
4	W	4243
8	R	4243
8	J	4258
7	R	4258
7	J	4273
8	R	4273
8	J	4288
7	R	4288
7	J	4303
8	R	4303
8	J	4318
7	R	4318
7	J	4333
8	R	4333
8	J	4348
7	R	4348
7	J	4363
8	R	4363
8	J	4378
7	R	4378
7	J	4393
8	R	4393
8	J	4408
7	R	4408
7	E	4414
1	J	4414
1	R	4414
1	W	4414
8	R	4414
4	J	4545
8	J	4549
4	R	4549
4	W	4549
8	R	4549
4	J	4579
8	J	4594
4	R	4594
4	W	4594
8	R	4594
8	E	4614
1	J	4614
1	R	4614
1	W	4614
0	R	4614
4	J	4663
4	R	4663
4	W	4664
0	R	4664
4	J	4719
4	R	4719
4	W	4719
0	R	4719
4	J	4770
4	R	4770
4	W	4770
0	R	4770
4	J	4830
4	R	4830
4	W	4830
0	R	4830
4	J	4891
4	R	4891
12	N	4893
12	J	4893
4	W	4893
12	R	4893
